all_employees_private,year,month,value_in_thousands
CES0500000001,1990,M05,91234
CES0500000001,1990,M06,91301
CES0500000001,1990,M07,91263
CES0500000001,1990,M08,91152
CES0500000001,1990,M09,91084
CES0500000001,1990,M10,90930
CES0500000001,1990,M11,90770
CES0500000001,1990,M12,90704
CES0500000001,1991,M01,90576
CES0500000001,1991,M02,90249
CES0500000001,1991,M03,90080
CES0500000001,1991,M04,89866
CES0500000001,1991,M05,89751
CES0500000001,1991,M06,89776
CES0500000001,1991,M07,89692
CES0500000001,1991,M08,89734
CES0500000001,1991,M09,89791
CES0500000001,1991,M10,89768
CES0500000001,1991,M11,89674
CES0500000001,1991,M12,89692
CES0500000001,1992,M01,89679
CES0500000001,1992,M02,89624
CES0500000001,1992,M03,89645
CES0500000001,1992,M04,89776
CES0500000001,1992,M05,89895
CES0500000001,1992,M06,89955
CES0500000001,1992,M07,89982
CES0500000001,1992,M08,90039
CES0500000001,1992,M09,90126
CES0500000001,1992,M10,90307
CES0500000001,1992,M11,90438
CES0500000001,1992,M12,90624
CES0500000001,1993,M01,90893
CES0500000001,1993,M02,91142
CES0500000001,1993,M03,91085
CES0500000001,1993,M04,91357
CES0500000001,1993,M05,91619
CES0500000001,1993,M06,91782
CES0500000001,1993,M07,92000
CES0500000001,1993,M08,92181
CES0500000001,1993,M09,92414
CES0500000001,1993,M10,92691
CES0500000001,1993,M11,92921
CES0500000001,1993,M12,93214
CES0500000001,1994,M01,93451
CES0500000001,1994,M02,93629
CES0500000001,1994,M03,94050
CES0500000001,1994,M04,94364
CES0500000001,1994,M05,94659
CES0500000001,1994,M06,94963
CES0500000001,1994,M07,95306
CES0500000001,1994,M08,95593
CES0500000001,1994,M09,95917
CES0500000001,1994,M10,96113
CES0500000001,1994,M11,96505
CES0500000001,1994,M12,96786
CES0500000001,1995,M01,97107
CES0500000001,1995,M02,97285
CES0500000001,1995,M03,97480
CES0500000001,1995,M04,97631
CES0500000001,1995,M05,97632
CES0500000001,1995,M06,97840
CES0500000001,1995,M07,97940
CES0500000001,1995,M08,98210
CES0500000001,1995,M09,98450
CES0500000001,1995,M10,98565
CES0500000001,1995,M11,98705
CES0500000001,1995,M12,98859
CES0500000001,1996,M01,98868
CES0500000001,1996,M02,99249
CES0500000001,1996,M03,99458
CES0500000001,1996,M04,99641
CES0500000001,1996,M05,99960
CES0500000001,1996,M06,100242
CES0500000001,1996,M07,100468
CES0500000001,1996,M08,100697
CES0500000001,1996,M09,100835
CES0500000001,1996,M10,101109
CES0500000001,1996,M11,101384
CES0500000001,1996,M12,101574
CES0500000001,1997,M01,101770
CES0500000001,1997,M02,102077
CES0500000001,1997,M03,102381
CES0500000001,1997,M04,102681
CES0500000001,1997,M05,102950
CES0500000001,1997,M06,103156
CES0500000001,1997,M07,103426
CES0500000001,1997,M08,103475
CES0500000001,1997,M09,103898
CES0500000001,1997,M10,104186
CES0500000001,1997,M11,104468
CES0500000001,1997,M12,104785
CES0500000001,1998,M01,105043
CES0500000001,1998,M02,105233
CES0500000001,1998,M03,105372
CES0500000001,1998,M04,105631
CES0500000001,1998,M05,105972
CES0500000001,1998,M06,106199
CES0500000001,1998,M07,106278
CES0500000001,1998,M08,106588
CES0500000001,1998,M09,106760
CES0500000001,1998,M10,106949
CES0500000001,1998,M11,107180
CES0500000001,1998,M12,107520
CES0500000001,1999,M01,107620
CES0500000001,1999,M02,107974
CES0500000001,1999,M03,108066
CES0500000001,1999,M04,108361
CES0500000001,1999,M05,108581
CES0500000001,1999,M06,108816
CES0500000001,1999,M07,109083
CES0500000001,1999,M08,109194
CES0500000001,1999,M09,109377
CES0500000001,1999,M10,109722
CES0500000001,1999,M11,109970
CES0500000001,1999,M12,110240
CES0500000001,2000,M01,110438
CES0500000001,2000,M02,110521
CES0500000001,2000,M03,110872
CES0500000001,2000,M04,111082
CES0500000001,2000,M05,110959
CES0500000001,2000,M06,111173
CES0500000001,2000,M07,111359
CES0500000001,2000,M08,111394
CES0500000001,2000,M09,111621
CES0500000001,2000,M10,111609
CES0500000001,2000,M11,111793
CES0500000001,2000,M12,111914
CES0500000001,2001,M01,111863
CES0500000001,2001,M02,111879
CES0500000001,2001,M03,111808
CES0500000001,2001,M04,111464
CES0500000001,2001,M05,111383
CES0500000001,2001,M06,111159
CES0500000001,2001,M07,110986
CES0500000001,2001,M08,110806
CES0500000001,2001,M09,110523
CES0500000001,2001,M10,110177
CES0500000001,2001,M11,109816
CES0500000001,2001,M12,109630
CES0500000001,2002,M01,109475
CES0500000001,2002,M02,109342
CES0500000001,2002,M03,109290
CES0500000001,2002,M04,109174
CES0500000001,2002,M05,109119
CES0500000001,2002,M06,109134
CES0500000001,2002,M07,109039
CES0500000001,2002,M08,108998
CES0500000001,2002,M09,108952
CES0500000001,2002,M10,109062
CES0500000001,2002,M11,109037
CES0500000001,2002,M12,108882
CES0500000001,2003,M01,108953
CES0500000001,2003,M02,108819
CES0500000001,2003,M03,108623
CES0500000001,2003,M04,108581
CES0500000001,2003,M05,108630
CES0500000001,2003,M06,108586
CES0500000001,2003,M07,108550
CES0500000001,2003,M08,108597
CES0500000001,2003,M09,108748
CES0500000001,2003,M10,108881
CES0500000001,2003,M11,108947
CES0500000001,2003,M12,109049
CES0500000001,2004,M01,109227
CES0500000001,2004,M02,109272
CES0500000001,2004,M03,109551
CES0500000001,2004,M04,109796
CES0500000001,2004,M05,110080
CES0500000001,2004,M06,110188
CES0500000001,2004,M07,110243
CES0500000001,2004,M08,110310
CES0500000001,2004,M09,110447
CES0500000001,2004,M10,110777
CES0500000001,2004,M11,110817
CES0500000001,2004,M12,110940
CES0500000001,2005,M01,111043
CES0500000001,2005,M02,111289
CES0500000001,2005,M03,111413
CES0500000001,2005,M04,111762
CES0500000001,2005,M05,111906
CES0500000001,2005,M06,112177
CES0500000001,2005,M07,112440
CES0500000001,2005,M08,112632
CES0500000001,2005,M09,112706
CES0500000001,2005,M10,112815
CES0500000001,2005,M11,113142
CES0500000001,2005,M12,113282
CES0500000001,2006,M01,113578
CES0500000001,2006,M02,113853
CES0500000001,2006,M03,114137
CES0500000001,2006,M04,114292
CES0500000001,2006,M05,114321
CES0500000001,2006,M06,114406
CES0500000001,2006,M07,114549
CES0500000001,2006,M08,114677
CES0500000001,2006,M09,114742
CES0500000001,2006,M10,114780
CES0500000001,2006,M11,114986
CES0500000001,2006,M12,115165
CES0500000001,2007,M01,115381
CES0500000001,2007,M02,115423
CES0500000001,2007,M03,115632
CES0500000001,2007,M04,115668
CES0500000001,2007,M05,115800
CES0500000001,2007,M06,115865
CES0500000001,2007,M07,115871
CES0500000001,2007,M08,115791
CES0500000001,2007,M09,115824
CES0500000001,2007,M10,115877
CES0500000001,2007,M11,115958
CES0500000001,2007,M12,116022
CES0500000001,2008,M01,116011
CES0500000001,2008,M02,115906
CES0500000001,2008,M03,115812
CES0500000001,2008,M04,115588
CES0500000001,2008,M05,115364
CES0500000001,2008,M06,115172
CES0500000001,2008,M07,114924
CES0500000001,2008,M08,114642
CES0500000001,2008,M09,114221
CES0500000001,2008,M10,113745
CES0500000001,2008,M11,112986
CES0500000001,2008,M12,112293
CES0500000001,2009,M01,111490
CES0500000001,2009,M02,110735
CES0500000001,2009,M03,109933
CES0500000001,2009,M04,109148
CES0500000001,2009,M05,108853
CES0500000001,2009,M06,108426
CES0500000001,2009,M07,108140
CES0500000001,2009,M08,107943
CES0500000001,2009,M09,107789
CES0500000001,2009,M10,107538
CES0500000001,2009,M11,107526
CES0500000001,2009,M12,107326
CES0500000001,2010,M01,107307
CES0500000001,2010,M02,107224
CES0500000001,2010,M03,107346
CES0500000001,2010,M04,107546
CES0500000001,2010,M05,107649
CES0500000001,2010,M06,107761
CES0500000001,2010,M07,107851
CES0500000001,2010,M08,108004
CES0500000001,2010,M09,108092
CES0500000001,2010,M10,108323
CES0500000001,2010,M11,108467
CES0500000001,2010,M12,108569
CES0500000001,2011,M01,108584
CES0500000001,2011,M02,108837
CES0500000001,2011,M03,109085
CES0500000001,2011,M04,109420
CES0500000001,2011,M05,109575
CES0500000001,2011,M06,109772
CES0500000001,2011,M07,109942
