production_employees_private,year,month,value_in_thousands
CES0500000006,1986,M07,66830
CES0500000006,1986,M08,66929
CES0500000006,1986,M09,67136
CES0500000006,1986,M10,67234
CES0500000006,1986,M11,67372
CES0500000006,1986,M12,67524
CES0500000006,1987,M01,67639
CES0500000006,1987,M02,67857
CES0500000006,1987,M03,68017
CES0500000006,1987,M04,68261
CES0500000006,1987,M05,68470
CES0500000006,1987,M06,68580
CES0500000006,1987,M07,68820
CES0500000006,1987,M08,68945
CES0500000006,1987,M09,69165
CES0500000006,1987,M10,69447
CES0500000006,1987,M11,69626
CES0500000006,1987,M12,69860
CES0500000006,1988,M01,69859
CES0500000006,1988,M02,70237
CES0500000006,1988,M03,70400
CES0500000006,1988,M04,70608
CES0500000006,1988,M05,70751
CES0500000006,1988,M06,71033
CES0500000006,1988,M07,71237
CES0500000006,1988,M08,71291
CES0500000006,1988,M09,71488
CES0500000006,1988,M10,71684
CES0500000006,1988,M11,71908
CES0500000006,1988,M12,72183
CES0500000006,1989,M01,72390
CES0500000006,1989,M02,72561
CES0500000006,1989,M03,72698
CES0500000006,1989,M04,72823
CES0500000006,1989,M05,72892
CES0500000006,1989,M06,72945
CES0500000006,1989,M07,72976
CES0500000006,1989,M08,72943
CES0500000006,1989,M09,73118
CES0500000006,1989,M10,73215
CES0500000006,1989,M11,73432
CES0500000006,1989,M12,73508
CES0500000006,1990,M01,73735
CES0500000006,1990,M02,73937
CES0500000006,1990,M03,73992
CES0500000006,1990,M04,73950
CES0500000006,1990,M05,73859
CES0500000006,1990,M06,73855
CES0500000006,1990,M07,73806
CES0500000006,1990,M08,73746
CES0500000006,1990,M09,73635
CES0500000006,1990,M10,73508
CES0500000006,1990,M11,73357
CES0500000006,1990,M12,73272
CES0500000006,1991,M01,73139
CES0500000006,1991,M02,72850
CES0500000006,1991,M03,72700
CES0500000006,1991,M04,72525
CES0500000006,1991,M05,72451
CES0500000006,1991,M06,72459
CES0500000006,1991,M07,72427
CES0500000006,1991,M08,72490
CES0500000006,1991,M09,72499
CES0500000006,1991,M10,72474
CES0500000006,1991,M11,72404
CES0500000006,1991,M12,72439
CES0500000006,1992,M01,72470
CES0500000006,1992,M02,72455
CES0500000006,1992,M03,72480
CES0500000006,1992,M04,72629
CES0500000006,1992,M05,72734
CES0500000006,1992,M06,72788
CES0500000006,1992,M07,72809
CES0500000006,1992,M08,72885
CES0500000006,1992,M09,72983
CES0500000006,1992,M10,73148
CES0500000006,1992,M11,73304
CES0500000006,1992,M12,73464
CES0500000006,1993,M01,73741
CES0500000006,1993,M02,73996
CES0500000006,1993,M03,73922
CES0500000006,1993,M04,74144
CES0500000006,1993,M05,74392
CES0500000006,1993,M06,74513
CES0500000006,1993,M07,74702
CES0500000006,1993,M08,74882
CES0500000006,1993,M09,75080
CES0500000006,1993,M10,75311
CES0500000006,1993,M11,75538
CES0500000006,1993,M12,75783
CES0500000006,1994,M01,75979
CES0500000006,1994,M02,76157
CES0500000006,1994,M03,76530
CES0500000006,1994,M04,76821
CES0500000006,1994,M05,77093
CES0500000006,1994,M06,77352
CES0500000006,1994,M07,77653
CES0500000006,1994,M08,77901
CES0500000006,1994,M09,78168
CES0500000006,1994,M10,78345
CES0500000006,1994,M11,78697
CES0500000006,1994,M12,78961
CES0500000006,1995,M01,79193
CES0500000006,1995,M02,79316
CES0500000006,1995,M03,79508
CES0500000006,1995,M04,79642
CES0500000006,1995,M05,79654
CES0500000006,1995,M06,79827
CES0500000006,1995,M07,79902
CES0500000006,1995,M08,80155
CES0500000006,1995,M09,80356
CES0500000006,1995,M10,80462
CES0500000006,1995,M11,80532
CES0500000006,1995,M12,80686
CES0500000006,1996,M01,80641
CES0500000006,1996,M02,81004
CES0500000006,1996,M03,81190
CES0500000006,1996,M04,81355
CES0500000006,1996,M05,81633
CES0500000006,1996,M06,81832
CES0500000006,1996,M07,82028
CES0500000006,1996,M08,82235
CES0500000006,1996,M09,82345
CES0500000006,1996,M10,82596
CES0500000006,1996,M11,82775
CES0500000006,1996,M12,82941
CES0500000006,1997,M01,83098
CES0500000006,1997,M02,83373
CES0500000006,1997,M03,83610
CES0500000006,1997,M04,83859
CES0500000006,1997,M05,84101
CES0500000006,1997,M06,84217
CES0500000006,1997,M07,84465
CES0500000006,1997,M08,84425
CES0500000006,1997,M09,84814
CES0500000006,1997,M10,85022
CES0500000006,1997,M11,85231
CES0500000006,1997,M12,85436
CES0500000006,1998,M01,85608
CES0500000006,1998,M02,85779
CES0500000006,1998,M03,85812
CES0500000006,1998,M04,86031
CES0500000006,1998,M05,86294
CES0500000006,1998,M06,86456
CES0500000006,1998,M07,86469
CES0500000006,1998,M08,86759
CES0500000006,1998,M09,86924
CES0500000006,1998,M10,87076
CES0500000006,1998,M11,87251
CES0500000006,1998,M12,87490
CES0500000006,1999,M01,87553
CES0500000006,1999,M02,87880
CES0500000006,1999,M03,87944
CES0500000006,1999,M04,88173
CES0500000006,1999,M05,88347
CES0500000006,1999,M06,88528
CES0500000006,1999,M07,88729
CES0500000006,1999,M08,88837
CES0500000006,1999,M09,89002
CES0500000006,1999,M10,89305
CES0500000006,1999,M11,89528
CES0500000006,1999,M12,89756
CES0500000006,2000,M01,89895
CES0500000006,2000,M02,89970
CES0500000006,2000,M03,90236
CES0500000006,2000,M04,90480
CES0500000006,2000,M05,90353
CES0500000006,2000,M06,90533
CES0500000006,2000,M07,90652
CES0500000006,2000,M08,90672
CES0500000006,2000,M09,90851
CES0500000006,2000,M10,90839
CES0500000006,2000,M11,90960
CES0500000006,2000,M12,90992
CES0500000006,2001,M01,90981
CES0500000006,2001,M02,90934
CES0500000006,2001,M03,90873
CES0500000006,2001,M04,90656
CES0500000006,2001,M05,90549
CES0500000006,2001,M06,90349
CES0500000006,2001,M07,90239
CES0500000006,2001,M08,90085
CES0500000006,2001,M09,89835
CES0500000006,2001,M10,89555
CES0500000006,2001,M11,89240
CES0500000006,2001,M12,89133
CES0500000006,2002,M01,89122
CES0500000006,2002,M02,89068
CES0500000006,2002,M03,89022
CES0500000006,2002,M04,88868
CES0500000006,2002,M05,88716
CES0500000006,2002,M06,88625
CES0500000006,2002,M07,88476
CES0500000006,2002,M08,88414
CES0500000006,2002,M09,88402
CES0500000006,2002,M10,88476
CES0500000006,2002,M11,88426
CES0500000006,2002,M12,88249
CES0500000006,2003,M01,88289
CES0500000006,2003,M02,88160
CES0500000006,2003,M03,87853
CES0500000006,2003,M04,87824
CES0500000006,2003,M05,87804
CES0500000006,2003,M06,87784
CES0500000006,2003,M07,87760
CES0500000006,2003,M08,87814
CES0500000006,2003,M09,87933
CES0500000006,2003,M10,88008
CES0500000006,2003,M11,88076
CES0500000006,2003,M12,88151
CES0500000006,2004,M01,88239
CES0500000006,2004,M02,88279
CES0500000006,2004,M03,88519
CES0500000006,2004,M04,88765
CES0500000006,2004,M05,89048
CES0500000006,2004,M06,89218
CES0500000006,2004,M07,89328
CES0500000006,2004,M08,89481
CES0500000006,2004,M09,89656
CES0500000006,2004,M10,89964
CES0500000006,2004,M11,89996
